DEPARTMENTID,LANGUAGE,SHORT_DESCRIPTION,MEDIUM_DESCRIPTION,LONG_DESCRIPTION
DEP000,EN,Office of CEO,,
DEP007,EN,Legal,,
DEP011,EN,Accounting,,
DEP012,EN,Operations,,
DEP013,EN,IT,,
DEP014,EN,Facilities,,
DEP021,EN,Quality Control,,
DEP022,EN,Procurement,,
DEP023,EN,Production,,
DEP031,EN,Low Touch,,
DEP032,EN,Outbound,,
DEP041,EN,Marketing Strategy,,
DEP042,EN,Design,,
DEP043,EN,Research,,
DEP044,EN,Communications,,
DEP051,EN,Innovation,,
DEP052,EN,Optimization ,,
DEP061,EN,Strategy,,
DEP062,EN,Planning,,
DEP063,EN,Partnerships,,
DEP064,EN,Acquisitions,,
DEP081,EN,Recruitment,,
DEP082,EN,Compensation,,
DEP083,EN,Training and Development,,
DEP084,EN,Employee Relations,,
DEP091,EN,Purchasing,,
DEP092,EN,Material,,
DEP093,EN,Warehouse,,
