JOBID,LANGUAGE,SHORT_DESCRIPTION,MEDIUM_DESCRIPTION,LONG_DESCRIPTION
211,EN,,Junior Accountant,
221,EN,,Acquisition manager,
251,EN,,Buyer,
261,EN,,Designer,
281,EN,,Facilities Manager,
291,EN,,Product Optimization Engineer,
301,EN,,IT specialist,
311,EN,,Corporate legal assistant,
341,EN,,Partner relationship manager,
351,EN,,Development planning,
361,EN,,Product Design Engineer,
371,EN,,Recruiter,
401,EN,,Warehouse worker,
411,EN,,Material Handler,
421,EN,,Learning specialist,
431,EN,,Quality Control Inspector Intern,
441,EN,,Sales Support Intern,
450,EN,,Assembler,
461,EN,,Inside Sales Specialist,
446,EN,,Strategic account executive,
455,EN,,Manufacturing Production Manager,
447,EN,,Sales Manager,
601,EN,,Executive Assistant to the President,
214,EN,,Financial Analyst,
303,EN,,IT Manager,
323,EN,,Senior Marketing strategy manager,
333,EN,,Operations manager,
353,EN,,Senior business development manager,
374,EN,,senior recruitment manager,
383,EN,,Senior marketing research manager,
393,EN,,Senior strategy manager,
404,EN,,Senior warehouse manager,
414,EN,,Materials Planner,
424,EN,,Senior learning director,
434,EN,,Quality Control Manager,
444,EN,,Account Executive,
453,EN,,Manufacturing Engineer,
464,EN,,Senior inside sales executive,
215,EN,,Controller,
445,EN,,Senior Account Executive,
454,EN,,Manufacturing Process Engineer,
456,EN,,VP of Engineering,
457,EN,,VP of Production,
500,EN,,VP of Finance,
602,EN,,Chief of staff,
213,EN,,Auditor,
232,EN,,Senior communication specialist,
233,EN,,Communication lead,
242,EN,,Senior Compensation Manager,
253,EN,,Purchasing Manager,
263,EN,,Design lead,
272,EN,,Senior employee relations specialist,
293,EN,,Product Optimization Engineer Manager,
302,EN,,Senior IT Specialist,
322,EN,,Marketing strategy manager ,
332,EN,,Senior operations specialist,
343,EN,,Senior partner manager,
352,EN,,Business development lead,
373,EN,,Recruitment manager,
382,EN,,Marketing research manager,
392,EN,,Strategy manager,
403,EN,,Warehouse manager,
413,EN,,Materials Manager,
423,EN,,Learning Director,
433,EN,,Senior Quality Control Inspector,
443,EN,,Sales operations specialist,
452,EN,,Manufacturing Technician,
463,EN,,Inside sales executive,
212,EN,,Senior Accountant,
222,EN,,Senior acquisition manager,
231,EN,,Communication specialist,
241,EN,,Compensation Manager,
252,EN,,Senior Buyer,
262,EN,,Senior designer,
271,EN,,Employee relations specialist,
282,EN,,Senior facilities manager,
292,EN,,Senior Product Optimization Engineer,
312,EN,,Corporate lawyer,
321,EN,,Marketing strategy specialist ,
331,EN,,Operations specialist,
342,EN,,Senior partner relationship manager,
362,EN,,Senior Product Design Engineer,
372,EN,,Senior recruiter,
381,EN,,Marketing research specialist,
402,EN,,Warehouse supervisor,
412,EN,,Materials Management Supervisor,
422,EN,,Learning Business Partner,
432,EN,,Quality Control Inspector,
442,EN,,Sales Support Specialist,
451,EN,,Assembly Supervisor,
462,EN,,Senior inside Sales Specialist,
